연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수,남성용-유아용대변기수,남성용-소변기수 ,남성용-유아용소변기수,여성용-대변기수,여성용-유아용대변기수,공용-대변기수,공용-유아용대변기수,공용-소변기수 ,공용-유아용소변기수,기저귀교환대설치유무-남자장애인화장실,기저귀교환대설치유무-여자장애인화장실,기저귀교환대설치유무-공용장애인화장실,리모델링 연도,데이터기준일자
11,공중화장실(장애인),서울교통공사,1호선,동묘앞, 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,37.573281,127.016649,지하,1,외부,2,하선승강장 7-3지점, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
12,공중화장실(장애인),서울교통공사,1호선,동묘앞, 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,37.573281,127.016649,지하,1,내부,3,상선승강장 4-3지점, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
13,공중화장실(장애인),서울교통공사,1호선,신설동, 서울특별시 동대문구 신설동 76-5 신설동역(1호선) , 서울특별시 동대문구 신설동  ,37.578163,127.034687,지하,1,외부,1,대합실(지하1층) 역무실 앞, 02-6110-1261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2014,2024-06-28
14,공중화장실(장애인),서울교통공사,1호선,제기동, 서울특별시 동대문구 제기동 65 제기동역 , 서울특별시 동대문구 제기동  ,37.579984,127.045547,지하,1,외부,2,2번출입구우측, 02-6110-1251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
15,공중화장실(장애인),서울교통공사,1호선,청량리, 서울특별시 동대문구 전농동 620-69 청량리역 , 서울특별시 동대문구 전농동  ,57.580037,127.044727,지하,1,외부,4,4번출입구 아래, 02-6110-1241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
16,공중화장실(장애인),서울교통공사,2호선,시청, 서울특별시 중구 서소문동 90-1 시청역(2호선) , 서울특별시 중구 서소문동 9 ,37.563681,126.975598,지하,1,내부,10,지하1층 9 또는10번출입구 옆, 02-6110-2011 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
17,공중화장실(장애인),서울교통공사,2호선,시청, 서울특별시 중구 서소문동 90-1 시청역(2호선) , 서울특별시 중구 서소문동 9 ,37.563681,126.975598,지하,2,외부,11,지하2층 환승통로, 02-6110-2011 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2013,2024-06-28
18,공중화장실(장애인),서울교통공사,2호선,을지로입구, 서울특별시 중구 을지로1가 100-1 을지로입구역 , 서울특별시 중구 을지로1가  ,37.566171,126.990203,지하,1,외부,4,지하1층 (다) 표 내는 곳 옆, 02-6110-2021 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2009,2024-06-28
19,공중화장실(장애인),서울교통공사,2호선,을지로3가, 서울특별시 중구 을지로3가 347-3 을지로3가역(2호선) , 서울특별시 중구 을지로3가  ,37.566489,126.996528,지하,1,외부,2,지하1층 (다) 표 내는 곳 옆, 02-6110-2031 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
20,공중화장실(장애인),서울교통공사,2호선,을지로4가, 서울특별시 중구 을지로4가 267-1 을지로4가역(2호선) , 서울특별시 중구 을지로4가  ,37.565718,127.008485,지하,1,외부,2,지하1층 1 또는2번 출입구 옆, 02-6110-2041 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2012,2024-06-28
21,공중화장실(장애인),서울교통공사,2호선,동대문역사문화공원, 서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선) , 서울특별시 중구 을지로 7가 ,37.565281,127.01664,지하,1,내부,1,대합실 1층 역무실 앞, 02-6110-2051 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
22,공중화장실(장애인),서울교통공사,2호선,신당, 서울특별시 중구 신당동 99 신당역(2호선) , 서울특별시 중구 신당동 99 ,37.563933,127.029793,지하,1,외부,2,대합실 1층 22 또는23번기둥, 02-6110-2061 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
23,공중화장실(장애인),서울교통공사,2호선,상왕십리, 서울특별시 성동구 하왕십리동 946-14 상왕십리역 , 서울특별시 성동구 하왕십리동 ,37.562259,127.037228,지하,1,외부,5 또는6,대합실 1층 5 또는6번출입구 앞, 02-6110-2071 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,1,,1,1,,,,,1,1,, 2008이전 ,2024-06-28
24,공중화장실(장애인),서울교통공사,2호선,왕십리, 서울특별시 성동구 행당동 192 왕십리역(2호선) , 서울특별시 성동구 행당동 1 ,37.555259,127.043658,지하,1,외부, 6-1,지하1층 6-1번 출입구 쪽, 02-6110-2081 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2009,2024-06-28
25,공중화장실(장애인),서울교통공사,2호선,한양대, 서울특별시 성동구 행당동 산17 17 한양대역 , 서울특별시 성동구 행당동 산 ,37.547177,127.04738,지상,2,외부,2,고객센터 맞은편, 02-6110-2091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
26,공중화장실(장애인),서울교통공사,2호선,뚝섬, 서울특별시 성동구 성수동1가 656-745 뚝섬역 , 서울특별시 성동구 성수동1가 ,37.544601,127.056885,지상,2,외부,6,역무실 옆, 02-6110-2101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2012,2024-06-28
27,공중화장실(장애인),서울교통공사,2호선,성수, 서울특별시 성동구 성수동2가 300-1 성수역 , 서울특별시 성동구 성수동2가 ,37.558689,127.053172,지상,2,외부,2,대합실 2층 2번출입구측  , 02-6110-2111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
28,공중화장실(장애인),서울교통공사,2호선,건대입구, 서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선) , 서울특별시 광진구 화양동 7 ,37.5404075,127.069202,지상,2,내부,2,대합실 2층 통로 중앙, 02-6110-2121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
29,공중화장실(장애인),서울교통공사,2호선,구의, 서울특별시 광진구 구의동 245-24 2호선 구의역 , 서울특별시 광진구 구의동 2 ,37.5371752,127.08618,지상,2,외부,2,대합실 2층 통로 중앙, 02-6110-2131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
30,공중화장실(장애인),서울교통공사,2호선,강변, 서울특별시 광진구 구의동 546-6 2호선 강변역 , 서울특별시 광진구 구의동 5 ,37.53511804,127.09474,지상,1,외부,2,대합실 1층 통로 중앙, 02-6110-2141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2009,2024-06-28
31,공중화장실(장애인),서울교통공사,2호선,잠실나루, 서울특별시 송파구 신천동 15 잠실나루역 , 서울특별시 송파구 신천동 1 ,37.52071241,127.1038088,지상,1,외부,2,대합실 1층 통로 중앙, 02-6110-2151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
32,공중화장실(장애인),서울교통공사,2호선,잠실, 서울특별시 송파구 잠실동 8 잠실역(2호선) , 서울특별시 송파구 잠실동 8 ,37.513311,127.100231,지하,1,외부,1,대합실 1층 1 또는2번출입구 앞 , 02-6110-2161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2009,2024-06-28
33,공중화장실(장애인),서울교통공사,2호선,잠실새내, 서울특별시 송파구 잠실동 33 잠실새내역 , 서울특별시 송파구 잠실동 3 ,37.511626,127.086314,지하,1,외부,2,대합실 1층 2번출입구 앞, 02-6110-2171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
34,공중화장실(장애인),서울교통공사,2호선,종합운동장, 서울특별시 송파구 잠실동 122 종합운동장역 , 서울특별시 송파구 잠실동 1 ,37.51114466,127.073849,지하,1,외부,1,대합실 1층 1 또는2번출입구 앞 (잠실새내측), 02-6110-2181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
35,공중화장실(장애인),서울교통공사,2호선,종합운동장, 서울특별시 송파구 잠실동 122 종합운동장역 , 서울특별시 송파구 잠실동 1 ,37.51114466,127.073849,지하,1,외부,5,대합실 1층 5번출입구 앞 (삼성측), 02-6110-2181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
36,공중화장실(장애인),서울교통공사,2호선,삼성, 서울특별시 강남구 삼성동 172-66 삼성역 , 서울특별시 강남구 삼성동 1 ,37.518622,127.1049,지하,1,외부,3,대합실 1층 통로 중앙, 02-6110-2191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
37,공중화장실(장애인),서울교통공사,2호선,선릉, 서울특별시 강남구 삼성동 172-66 선릉역 , 서울특별시 강남구 삼성동 1 ,37.517661,127.074659,지하,1,외부,1,대합실 1층 1번출입구 앞, 02-6110-2201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
38,공중화장실(장애인),서울교통공사,2호선,역삼, 서울특별시 강남구 역삼동 804 역삼역 , 서울특별시 강남구 역삼동 8 ,57.50067442,127.0364694,지하,2,외부,3,대합실 2층 통로 중앙, 02-6110-2211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2022,2024-06-28
39,공중화장실(장애인),서울교통공사,2호선,강남, 서울특별시 강남구 역삼동 858 강남역 , 서울특별시 강남구 역삼동 8 ,37.49808634,127.0280014,지하,1,내부,12,대합실 1층 역무실쪽(1 또는12번출입구쪽) 또는표 내는 곳 내부, 02-6110-2221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
40,공중화장실(장애인),서울교통공사,2호선,교대, 서울특별시 서초구 서초동 1748-4 교대역(2호선) , 서울특별시 서초구 서초동 1 ,37.4939,127.0143838,지하,1,외부,4,대합실 1층 1 또는2 또는3 또는4 또는번출입구 쪽, 02-6110-2231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,,,,,,1,1,,2017,2024-06-28
41,공중화장실(장애인),서울교통공사,2호선,서초, 서울특별시 서초구 서초동 1748-5 서초역 , 서울특별시 서초구 서초동 1 ,37.49184993,127.0076621,지하,1,외부,1,대합실1층 (1 또는2 또는7 또는8번 출입구쪽) 또는표 내는 곳 외부, 02-6110-2241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
42,공중화장실(장애인),서울교통공사,2호선,방배, 서울특별시 서초구 방배동 912-14 방배역 , 서울특별시 서초구 방배동 9 ,37.508826,127.063067,지하,1,외부,4,서초방면 대합실 끝(1 또는4번 출입구방향) 또는표 내는 곳 외부, 02-6110-2251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2009,2024-06-28
43,공중화장실(장애인),서울교통공사,2호선,사당, 서울특별시 동작구 사당동 1129 사당역(2호선) , 서울특별시 동작구 사당동 1 ,37.47656223,126.9815586,지하,1,외부,1,지하1층 대합실 1 또는2번 출입구 쪽(방배측), 02-6110-2261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
44,공중화장실(장애인),서울교통공사,2호선,사당, 서울특별시 동작구 사당동 1129 사당역(2호선) , 서울특별시 동작구 사당동 1 ,37.47656223,126.9815586,지하,1,외부,7,지하1층 대합실 7 또는8번 출입구 쪽(낙성대측), 02-6110-2261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
45,공중화장실(장애인),서울교통공사,2호선,낙성대, 서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사 , 서울특별시 관악구 봉천동 1 ,37.47709324,126.9635239,지하,1,외부,5,대합실 1층 고객안내부스앞(3 또는4 또는5 또는6번출입구쪽), 02-6110-2271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
46,공중화장실(장애인),서울교통공사,2호선,서울대입구, 서울특별시 관악구 봉천동 979-2 서울대입구역사 , 서울특별시 관악구 봉천동 9 ,37.492765,127.010541,지하,1,외부,8,대합실 1층 (7 또는8번출입구쪽), 02-6110-2281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2018,2024-06-28
47,공중화장실(장애인),서울교통공사,2호선,봉천, 서울툭별시 관악구 봉천동 979-7 2호선 봉천역사 , 서울툭별시 관악구 봉천동 9 ,37.481297,126.99732,지하,1,외부,2,대합실1층 또는 안내부스맞은편(2출입구쪽)표 내는 곳 외부, 02-6110-2291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
48,공중화장실(장애인),서울교통공사,2호선,신림, 서울특별시 관악구 신림동 1467-10 2호선 신림역사 , 서울특별시 관악구 신림동 1 ,37.48426714,126.9297454,지하,1,내부,4,대합실 1층 역무실 맞은편(3 또는4번출입구쪽) 또는표 내는 곳 내부, 02-6110-2301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,1,1,,2010,2024-06-28
49,공중화장실(장애인),서울교통공사,2호선,신대방, 서울특별시 동작구 신대방동 643-1 신대방역 2호선 , 서울특별시 동작구 신대방동  ,37.48765046,126.9135075,지상,2,내부,4,대합실 2층 역무실쪽(1 또는4번출입구쪽) 또는 표 내는 곳 내부, 02-6110-2311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2011,2024-06-28
50,공중화장실(장애인),서울교통공사,2호선,구로디지털단지, 서울특별시 구로구 구로동 810-3 구로디지털단지역 , 서울특별시 구로구 구로동 8 ,37.477028,126.963396,지상,2,내부,1,지상2층 또는 역무실 앞 (표 내는 곳 내부), 02-6110-2321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
51,공중화장실(장애인),서울교통공사,2호선,대림, 서울특별시 구로구 구로동 1204 대림역(2호선) , 서울특별시 구로구 구로동 1 ,37.481113,126.952634,지상,2,내부,6,지상2층 또는 대합실 중앙(표 내는 곳 내부), 02-6110-2331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2019,2024-06-28
52,공중화장실(장애인),서울교통공사,2호선,신도림, 서울특별시 구로구 신도림동 460-26 2호선 신도림역 , 서울특별시 구로구 신도림동  ,37.482518,126.941481,지하,1,내부,1,지하1층 대합실 (표 내는 곳 내부 또는 1번출입구방향), 02-6110-2341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,1,1,1,,,,,1,1,,2011,2024-06-28
53,공중화장실(장애인),서울교통공사,2호선,신도림, 서울특별시 구로구 신도림동 460-26 2호선 신도림역 , 서울특별시 구로구 신도림동  ,37.484178,126.929789,지하,1,외부,1,지하1층 대합실(표 내는 곳 외부 또는1번출입구방향), 02-6110-2341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,1,1,1,,,,,1,1,,2011,2024-06-28
54,공중화장실(장애인),서울교통공사,2호선,문래, 서울특별시 영등포구 문래동3가 68-1문래역 , 서울특별시 영등포구 문래동3 ,37.48751,126.912991,지하,1,외부,3,지하1층 대합실(표 내는 곳 외부 또는 2 또는3번출입구방향), 02-6110-2351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2011,2024-06-28
55,공중화장실(장애인),서울교통공사,2호선,영등포구청, 서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선) , 서울특별시 영등포구 당산동3 ,37.485127,126.901529,지하,1,내부,2,지하1층 대합실(표 내는 곳 내부 또는 환승통로입구), 02-6110-2361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,,,,,,1,1,,2009,2024-06-28
56,공중화장실(장애인),서울교통공사,2호선,당산, 서울특별시 영등포구 당산동 6가 323-1 당산역 , 서울특별시 영등포구 당산동  ,37.53478432,126.9026118,지상,2,내부,4,지상2층 또는 대합실 중앙(표 내는 곳 내부), 02-6110-2371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,1,,,,,,1,,2009,2024-06-28
57,공중화장실(장애인),서울교통공사,2호선,합정, 서울특별시 마포구 서교동 393 합정역(2호선) , 서울특별시 마포구 서교동 3 ,37.54991316,126.9144541,지하,1,내부,1,지하1층대합실 또는 1 또는2번출입구, 02-6110-2381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
58,공중화장실(장애인),서울교통공사,2호선,홍대입구, 서울특별시 마포구 동교동 165 홍대입구역 , 서울특별시 마포구 동교동 1 ,37.514401,126.882685,지하,1,외부,2,지하1층대합실 또는 2번출입구 옆 , 02-6110-2391 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2011,2024-06-28
59,공중화장실(장애인),서울교통공사,2호선,신촌, 서울특별시 마포구 노고산동 31-11 신촌역 , 서울특별시 마포구 노고산동  ,37.512518,126.865711,지하,1,외부,5,지하1층대합실 또는 5번출입구 옆 , 02-6110-2401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
60,공중화장실(장애인),서울교통공사,2호선,이대, 서울특별시 마포구 염리동 8-85 이대역 , 서울특별시 마포구 염리동 8 ,37.518294,126.853619,지하,1,외부,5,지하1층 대합실 5번출입구 옆, 02-6110-2411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,1,2017,2024-06-28
61,공중화장실(장애인),서울교통공사,2호선,아현, 서울특별시 마포구 아현동 354-23 아현역 , 서울특별시 마포구 아현동 3 ,37.517887,126.894751,지하,1,외부,4,지하1층 대합실 이대역방면 끝단, 02-6110-2421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2009,2024-06-28
62,공중화장실(장애인),서울교통공사,2호선,충정로, 서울특별시 서대문구 충정로3가 319-1 충정로역(2호선) , 서울특별시 서대문구 충정로3 ,37.525656,126.896614,지하,2,외부,6,지하2층 아현방면 끝단, 02-6110-2431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2018,2024-06-28
63,공중화장실(장애인),서울교통공사,2호선,신설동, 서울특별시 동대문구 신설동 76-5 신설동역(2호선) , 서울특별시 동대문구 신설동  ,37.534931,126.90273,지하,1,내부,7,대합실(지하1층) 역무실 옆, 02-6110-1371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
64,공중화장실(장애인),서울교통공사,2호선,용두, 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,37.57406213,127.0382757,지하,1,외부,5,(내선대합실)5번출입구 입구, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
65,공중화장실(장애인),서울교통공사,2호선,용두, 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,37.57406213,127.0382757,지하,1,외부,2,(외선대합실)1 또는2번 출입구 입구, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
66,공중화장실(장애인),서울교통공사,2호선,용두, 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,37.57406213,127.0382757,지하,1,내부,5,(내선승강장)3-3 승강장 앞, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
67,공중화장실(장애인),서울교통공사,2호선,용두, 서울특별시 동대문구 용두동 47-1 용두역 , 서울특별시 동대문구 용두동  ,37.57406213,127.0382757,지하,1,내부,2,(외선승강장)2-2 승강장 앞, 02-6110-1361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
68,공중화장실(장애인),서울교통공사,2호선,신답, 서울특별시 성동구 용답동 129-2 신답역 , 서울특별시 성동구 용답동 1 ,37.55589,126.955661,지상,1,내부,1,1층 대합실, 02-6110-1351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2020,2024-06-28
69,공중화장실(장애인),서울교통공사,2호선,용답, 서울특별시 성동구 용답동 127 용답역 , 서울특별시 성동구 용답동 1 ,37.559493,126.963818,지상,1,외부,1,대합실, 02-6110-1341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,1, 2008이전 ,2024-06-28
70,공중화장실(장애인),서울교통공사,2호선,도림천, 서울특별시 구로구 신도림동 323-16 도림천역 , 서울특별시 구로구 신도림동  ,37.637537,126.918588,지상,1,외부,1,지상1층 또는 역무실 옆(표 내는 곳 외부), 02-6110-2441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,,2024,2024-06-28
71,공중화장실(장애인),서울교통공사,2호선,양천구청, 서울특별시 양천구 신정동 276-7 양천구청역 , 서울특별시 양천구 신정동 2 ,37.618888,126.920832,지하,1,내부,1,지하1층 또는 대합실(표 내는 곳 내부 또는 신청자량사업소출입구 옆), 02-6110-2451 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2014,2024-06-28
72,공중화장실(장애인),서울교통공사,2호선,신정네거리, 서울특별시 양천구 신정동 1231 신정네거리역 , 서울특별시 양천구 신정동 1 ,37.610483,126.929288,지하,1,외부,3,지하1층 대합실(표 내는 곳 외부 또는 2번 또는 3번 출입구방향), 02-6110-2461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,,2010,2024-06-28
